Periodo;Juicios iniciados por personas trabajadoras en unidades productivas, notificados en el mes de referencia (1);Juicios iniciados por personas trabajadoras en casas particulares, notificados en el mes de referencia (2);Total de juicios notificados en el mes de referencia (3);Sentencias dictadas en el mes de referencia (4);Stock acumulado de juicios sin resolver (5);;Unidades Productivas ;Sin personas trabajadoras declaradas;1;2;3-may;6-oct;nov-25;26-40;41-50 ;51-100;101-500;501-1500 ;1501-2500;2501-5000 ;Mas de 5000;Sin datos;Total unidades productivas;Total casas particulares;Total sistema;;Unidades Productivas ;C.A.B.A.;Buenos Aires;Catamarca;Córdoba;Corrientes;Entre Ríos;Jujuy;Mendoza;La Rioja;Salta;San Juan;San Luis;Santa Fe;Sgo. del Estero;Tucumán;Chaco;Chubut;Formosa;Misiones;Neuquén;La Pampa;Río Negro;Santa Cruz;Tierra del Fuego;Sin datos;Total unidades productivas;Total casas particulares;Total sistema;;Unidades Productivas ;Berkley ART;Prevención;Provincia;La Segunda;Interacción;Fed. Patronal;Prod. de Frutas;La Holando;Experta ART.;Victoria;La Meridional;MAPFRE;Galeno;Swiss Medical;Inst. Autarq. E.R.;Asociart;Horizonte;Caja Popular;Latitud Sur;Reconquista;Liderar ART;Caminos Protegidos;Omint;Mutual Petroleros;Mutual Rural;Andina ART;Exxonmobil;Shell;Coop. Port. San Martin;Sgo. del Estero;Municip. Rosario;Autoaseg. Pcia. de Buenos Aires;Total unidades productivas**;Total casas particulares;Total sistema;;Unidades productivas ;Agricultura, ganaderia, caza, silvicultura y pesca;Explotacion de minas y canteras;Industria manufacturera;Suministro de electricidad, gas, vapor y aire acondicionado;Suministro de agua, cloacas, gestion de residuos y recuperacion de materiales y saneamiento publico;Construccion;"Comercio al por mayor y al por menor; reparacion de vehiculos automotores y motocicletas";Servicio de transporte y almacenamiento;Servicios de alojamiento y servicios de comida;Informacion y comunicaciones;Intermediacion financiera y servicios de seguros;Servicios inmobiliarios;Servicios profesionales, cientificos y tecnicos;Actividades administrativas y servicios de apoyo;Administracion publica, defensa y seguridad social obligatoria;Enseñanza;Salud humana y servicios sociales;Servicios artisticos, culturales, deportivos y de esparcimiento;Servicios de asociaciones y servicios personales;Servicios de organizaciones y organos extraterritoriales;Sin datos;Total unidades productivas ;Total casas particulares ;Total sistema
ene-10;609;0;609;1;608;ene-10;;0;5;6;16;13;37;19;18;42;104;143;47;49;69;41;609;0;609;ene-10;;223;92;1;124;2;3;3;31;1;0;0;5;72;0;22;1;4;0;2;14;1;5;3;0;0;609;0;609;ene-10;;3;11;1;110;1;4;0;0;11;0;0;0;467;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;609;0;609;ene-10;;15;1;230;2;;51;58;81;;;58;;;;109;;;;;;4;609;0;609
feb-10;4160;0;4160;8;4760;feb-10;;0;55;49;128;177;312;206;135;330;865;561;214;227;528;373;4160;0;4160;feb-10;;1180;684;2;1013;6;41;9;196;0;4;28;41;744;0;62;27;15;3;19;62;3;16;1;4;0;4160;0;4160;feb-10;;53;649;488;401;141;88;3;40;769;4;0;0;941;281;6;262;9;0;0;9;0;0;0;0;0;0;0;0;0;0;0;16;4160;0;4160;feb-10;;123;16;1342;31;;456;464;403;;;308;;;;962;;;;;;52;4160;0;4160
mar-10;5194;0;5194;27;9927;mar-10;;0;59;60;177;202;385;207;129;448;1179;653;298;304;587;506;5194;0;5194;mar-10;;1385;943;1;1249;14;37;13;230;0;7;12;38;957;3;136;6;22;1;28;70;4;30;5;1;2;5194;0;5194;mar-10;;39;803;497;506;192;136;7;59;979;7;0;0;1140;389;11;379;17;1;2;8;0;0;0;0;0;0;0;0;0;0;0;22;5194;0;5194;mar-10;;182;16;1657;15;;555;577;600;;;368;;;;1173;;;;;;50;5194;0;5194
abr-10;4795;0;4795;81;14641;abr-10;;0;84;52;153;226;320;204;104;393;1144;635;346;289;426;419;4795;0;4795;abr-10;;1302;847;2;1194;23;32;11;112;3;6;18;24;887;3;165;10;27;4;34;39;6;40;4;1;1;4795;0;4795;abr-10;;60;720;369;537;192;89;3;42;811;6;0;0;1293;330;4;293;25;1;2;5;0;0;0;0;0;0;0;0;0;0;0;13;4795;0;4795;abr-10;;145;31;1751;23;;452;543;498;;;343;;;;963;;;;;;42;4795;0;4795
may-10;4538;0;4538;113;19066;may-10;;0;69;50;137;213;349;231;118;358;1027;517;259;258;471;481;4538;0;4538;may-10;;1242;780;1;1193;11;29;11;234;0;6;12;28;752;0;118;9;22;1;28;22;3;34;2;0;0;4538;0;4538;may-10;;63;730;351;416;164;136;5;34;838;4;0;0;1085;319;2;328;29;5;0;9;1;0;0;0;0;0;0;0;0;0;0;19;4538;0;4538;may-10;;142;23;1498;19;;457;549;491;;;313;;;;992;;;;;;45;4538;0;4538
jun-10;4740;0;4740;289;23517;jun-10;;0;74;68;148;197;372;254;141;388;1050;586;294;298;479;391;4740;0;4740;jun-10;;1268;714;0;1068;9;49;13;546;1;11;18;29;784;25;83;8;23;3;46;5;5;28;3;0;1;4740;0;4740;jun-10;;63;833;354;509;179;96;5;29;794;9;0;0;1038;407;8;366;22;0;2;7;0;0;0;0;0;0;0;0;0;0;0;19;4740;0;4740;jun-10;;183;31;1456;19;;478;536;588;;;344;;;;1021;;;;;;79;4740;0;4740
jul-10;3491;0;3491;296;26712;jul-10;;0;39;33;110;131;278;206;89;298;737;428;240;248;347;307;3491;0;3491;jul-10;;1115;547;2;716;10;24;7;330;0;8;11;21;563;4;52;1;21;2;21;4;5;22;4;1;0;3491;0;3491;jul-10;;47;482;244;370;128;123;0;28;578;8;0;0;977;230;3;214;16;1;1;8;11;0;0;0;0;0;0;0;0;0;0;22;3491;0;3491;jul-10;;107;15;1156;15;;322;420;408;;;282;;;;708;;;;;;56;3491;0;3491
ago-10;5720;0;5720;341;32091;ago-10;;0;83;66;197;250;469;300;159;451;1286;705;313;445;465;531;5720;0;5720;ago-10;;1619;912;1;1328;18;40;14;409;2;12;20;41;1053;8;57;10;31;3;49;55;3;31;1;3;0;5720;0;5720;ago-10;;49;986;362;532;224;176;6;46;1096;9;0;0;1324;446;7;399;16;2;0;13;3;0;0;0;0;0;0;0;0;0;0;24;5720;0;5720;ago-10;;167;21;1868;18;;736;670;690;;;383;;;;1083;;;;;;77;5720;0;5720
sep-10;5724;0;5724;494;37321;sep-10;;0;101;69;205;214;447;279;147;448;1329;730;326;411;559;459;5724;0;5724;sep-10;;1699;955;0;1160;25;36;12;459;1;4;24;58;1006;4;83;6;25;7;30;109;1;14;5;1;0;5724;0;5724;sep-10;;42;970;399;538;199;172;8;40;1020;7;0;0;1332;496;11;408;32;3;3;8;3;1;0;0;0;0;0;0;0;0;0;32;5724;0;5724;sep-10;;182;29;1832;31;;665;694;646;;;409;;;;1164;;;;;;60;5724;0;5724
oct-10;5064;0;5064;468;41917;oct-10;;0;76;55;163;229;376;247;129;385;1184;679;293;328;496;424;5064;0;5064;oct-10;;1458;870;3;995;15;57;4;494;1;9;6;56;835;26;73;7;28;7;28;27;6;55;3;1;0;5064;0;5064;oct-10;;53;961;363;443;158;167;5;56;895;6;0;0;1125;352;14;372;47;3;2;5;5;0;0;0;0;0;0;0;0;0;0;32;5064;0;5064;oct-10;;160;26;1608;21;;554;599;604;;;393;;;;1021;;;;;;64;5064;0;5064
